Date : 2024-07-03 17:50:36
Directory : /home/victor/TIPE/code
Total : 123 files,  7153 codes, 1469 comments, 1420 blanks, all 10042 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |         96 |      6,837 |      1,448 |      1,306 |      9,591 |
| C++          |         25 |        204 |         16 |         60 |        280 |
| Makefile     |          1 |        108 |          0 |         49 |        157 |
| Shell Script |          1 |          4 |          5 |          5 |         14 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        123 |      7,153 |      1,469 |      1,420 |     10,042 |
| . (Files)                                                                                                        |          4 |        161 |         19 |         71 |        251 |
| AI                                                                                                               |         44 |      2,282 |        246 |        393 |      2,921 |
| AI/ai_lists                                                                                                      |          7 |        155 |         51 |         27 |        233 |
| AI/ai_lists (Files)                                                                                              |          1 |          9 |          3 |          2 |         14 |
| AI/ai_lists/analyse                                                                                              |          4 |        122 |         39 |         18 |        179 |
| AI/ai_lists/analyse (Files)                                                                                      |          2 |         86 |         37 |         10 |        133 |
| AI/ai_lists/analyse/calc_proba_trivial                                                                           |          2 |         36 |          2 |          8 |         46 |
| AI/ai_lists/ecrasement                                                                                           |          2 |         24 |          9 |          7 |         40 |
| AI/alpha_beta_prunning                                                                                           |          7 |        301 |         58 |         49 |        408 |
| AI/alpha_beta_prunning (Files)                                                                                   |          3 |        163 |         26 |         21 |        210 |
| AI/alpha_beta_prunning/esperance_calc                                                                            |          2 |         61 |          9 |         12 |         82 |
| AI/alpha_beta_prunning/moveTab_quick_sort                                                                        |          2 |         77 |         23 |         16 |        116 |
| AI/move_for_sure                                                                                                 |          2 |         46 |          3 |         14 |         63 |
| AI/move_listing                                                                                                  |         20 |      1,159 |         93 |        181 |      1,433 |
| AI/move_listing (Files)                                                                                          |          4 |        455 |         37 |         57 |        549 |
